height,timestamp,difficulty
479808,1502282210,923233068448.9053
481824,1503539857,888171856257.3206
483840,1504704195,922724699725.9628
485856,1505716276,1103400932964.292
487872,1506904066,1123863285132.967
489888,1508040302,1196792694098.793
491904,1509036762,1452839779145.919
493920,1510326831,1364422081125.147
495936,1511553196,1347001430558.57
497952,1512577401,1590896927258.079
499968,1513605320,1873105475221.611
501984,1514778970,1931136454487.716
504000,1515827554,2227847638503.628
506016,1516862900,2603077300218.593
508032,1517958487,2874674234415.941
510048,1519114859,3007383866429.732
512064,1520223678,3290605988755.001
514080,1521373218,3462542391191.563
516096,1522566357,3511060552899.72
518112,1523672932,3839316899029.672
520128,1524828253,4022059196164.954
522144,1526003655,4143878474754.188
524160,1527168053,4306949573981.513
526176,1528222686,4940704885521.827
528192,1529400045,5077499034879.017
530208,1530545661,5363678461481.357
532224,1531799449,5178671069072.251
534240,1532852371,5949437371609.53
536256,1533980459,6389316883511.965
538272,1535129431,6727225469722.534
540288,1536290079,7019199231177.173
542304,1537478139,7152633351906.413
544320,1538639362,7454968648263.241
546336,1539895067,7182852313938.317
548352,1541105656,7184404942701.792
550368,1542412284,6653303141405.96
552384,1543838368,5646403851534.721
554400,1545175965,5106422924659.822
556416,1546276809,5618595848853.279
558432,1547432394,5883988430955.408
560448,1548657313,5814661935891.805
562464,1549817981,6061518831027.271
564480,1551026038,6071846049920.752
566496,1552236304,6068891541676.553
568512,1553387093,6379265451411.053
570528,1554594223,6393023717201.863
572544,1555811668,6353030562983.983
574560,1556958733,6702169884349.173
576576,1558168296,6704632680587.417
578592,1559256184,7459680720542.296
580608,1560474230,7409399249090.253
582624,1561604370,7934713219630.606
584640,1562663868,9064159826491.41
586656,1563880937,9013786945891.682
588672,1564973528,9985348008059.555
590688,1566161382,10183488432890
592704,1567305301,10771996663680.4
594720,1568401591,11890594958795.76
596736,1569530001,12759819404408.79
598752,1570716535,13008091666971.9
600768,1571866973,13691480038694.45
602784,1573169436,12720005267390.51
604800,1574356132,12973235968799.78
606816,1575576145,12876842089682.48
608832,1576779421,12948593420946.38
610848,1577915667,13798783827516.42
612864,1579045357,14776367535688.64
614880,1580201043,15466098935554.65
616896,1581405024,15546745765529.37
618912,1582619322,15486913440292.87
620928,1583751917,16552923967337.23
622944,1585191106,13912524048945.91
624960,1586336046,14715214060656.53
626976,1587452724,15958652328578.42
628992,1588651521,16104807485529.38
631008,1589940416,15138043247082.88
633024,1591273852,13732352106018.34
635040,1592326267,15784744305477.41
637056,1593537529,15784217546288.15
639072,1594641060,17345948872516.06
641088,1595886756,16847561611550.27
643104,1597089619,16947802333946.61
645120,1598258059,17557993035167.3
647136,1599482920,17345997805929.09
649152,1600570533,19314656404097
651168,1601781592,19298087186262.61
653184,1602950620,19997335994446.11
655200,1604392090,16787779609932.66
657216,1605546119,17596801059571.43
659232,1606657305,19157154724710.14
661248,1607899483,18670168558399.59
663264,1609113744,18599593048299.49
665280,1610205877,20607418304385.63
